Encounter,PSP_Time_UTC,PSP_Vr_kms,PSP_Lon_deg,PSP_Radius_Rs,PSP_Lat_deg,Earth_Time_UTC,Earth_Vr_kms,Earth_Lon_deg,Earth_Radius_Rs,Earth_Lat_deg
1,2018-11-03 16:07:30+00:00,270.11349561096455,319.30426999429227,40.18250543806627,0.0,,,,,0.0
1,2018-11-03 16:22:30+00:00,270.7429048414023,319.31267821815453,40.14772647928598,0.0,,,,,0.0
1,2018-11-03 16:37:30+00:00,278.93565889385536,319.321359032491,40.11304855047748,0.0,,,,,0.0
1,2018-11-03 16:52:30+00:00,276.3412811675373,319.3303123621947,40.07847208541404,0.0,,,,,0.0
1,2018-11-03 17:07:30+00:00,268.35667787792295,319.33953812507224,40.043997518386675,0.0,,,,,0.0
1,2018-11-03 17:22:30+00:00,267.7001992568259,319.349036231692,40.00962528420023,0.0,,,,,0.0
1,2018-11-03 17:37:30+00:00,294.1562326099054,319.3588065853595,39.97535581815609,0.0,,,,,0.0
1,2018-11-03 17:52:30+00:00,270.90884000215414,319.3688490820696,39.94118955603575,0.0,,,,,0.0
1,2018-11-03 18:07:30+00:00,274.64524207011686,319.3791636104824,39.90712693409221,0.0,,,,,0.0
1,2018-11-03 18:22:30+00:00,275.6994183854812,319.38975005172523,39.8731683890429,0.0,,,,,0.0
1,2018-11-03 18:37:30+00:00,272.97737390600497,319.40060827957916,39.8393143580422,0.0,,,,,0.0
1,2018-11-03 18:52:30+00:00,267.21751409503844,319.41173816020387,39.80556527867177,0.0,,,,,0.0
1,2018-11-03 19:07:30+00:00,265.03410453104834,319.4231395521972,39.77192158893472,0.0,,,,,0.0
1,2018-11-03 19:22:30+00:00,267.96441650061934,319.43481230650093,39.7383837272342,0.0,,,,,0.0
1,2018-11-03 19:37:30+00:00,268.3992810598309,319.44675626638536,39.704952132360354,0.0,,,,,0.0
1,2018-11-03 19:52:30+00:00,273.57823165742974,319.4589712673794,39.67162724347969,0.0,,,,,0.0
1,2018-11-03 20:07:30+00:00,272.35769989285075,319.4714571371209,39.63840950011584,0.0,,,,,0.0
1,2018-11-03 20:22:30+00:00,267.0241012286222,319.4842136954774,39.605299342134835,0.0,,,,,0.0
1,2018-11-03 20:37:30+00:00,270.93133163114993,319.4972407544199,39.57229720973186,0.0,,,,,0.0
1,2018-11-03 20:52:30+00:00,268.40409520918706,319.51053811786255,39.53940354342631,0.0,,,,,0.0
1,2018-11-03 21:07:30+00:00,296.2686262702419,319.52410558174563,39.50661878402894,0.0,,,,,0.0
1,2018-11-03 21:22:30+00:00,270.3457375195218,319.537942933993,39.47394337263096,0.0,,,,,0.0
1,2018-11-03 21:37:30+00:00,291.00584307178633,319.55204995431006,39.441377750601056,0.0,,,,,0.0
1,2018-11-03 21:52:30+00:00,279.62800904733695,319.56642641429784,39.40892235955514,0.0,,,,,0.0
1,2018-11-03 22:07:30+00:00,273.7051672141742,319.5810720773082,39.37657764134744,0.0,,,,,0.0
1,2018-11-03 22:22:30+00:00,275.89797883383693,319.59598669838175,39.34434403806048,0.0,,,,,0.0
1,2018-11-03 22:37:30+00:00,273.88005750868587,319.6111700242503,39.3122219919766,0.0,,,,,0.0
