PSP_Time_UTC,PSP_Vr_kms,PSP_Lon_deg,PSP_Radius_Rs,PSP_Lat_deg,Earth_Arrival_UTC,Earth_Vr_kms,Earth_Lon_deg,Earth_Radius_Rs,Earth_Lat_deg
2024-12-22 14:52:30+00:00,227.64807016669576,143.09845157856114,27.394441896865327,0.0,2024-12-29 06:09:37.033125135+00:00,407.7017650337677,143.09845157856114,215.03215567054764,0.0
2024-12-22 15:07:30+00:00,229.34722592128256,143.13721063263492,27.28672681100746,0.0,2024-12-29 05:19:15.448923163+00:00,407.08202602012585,143.13721063263492,215.03215567054764,0.0
2024-12-22 15:22:30+00:00,243.32026245292545,143.17744651398542,27.17887470073573,0.0,2024-12-28 20:34:19.101614512+00:00,406.47272890075186,143.17744651398542,215.03215567054764,0.0
2024-12-22 15:37:30+00:00,221.439378130217,143.21917874615116,27.070885643281528,0.0,2024-12-29 11:39:31.237289030+00:00,406.14485110743306,143.21917874615116,215.03215567054764,0.0
2024-12-22 15:52:30+00:00,226.6911826931214,143.26242720094515,26.962759730781933,0.0,2024-12-29 08:12:02.332866677+00:00,405.5549652975937,143.26242720094515,215.03215567054764,0.0
2024-12-22 16:07:30+00:00,216.92329180772737,143.30721209011742,26.85449706835168,0.0,2024-12-29 15:45:59.175979065+00:00,405.24439085279755,143.30721209011742,215.03215567054764,0.0
2024-12-22 16:22:30+00:00,224.41820705191384,143.35355399470538,26.74609777801578,0.0,2024-12-29 10:30:39.764732559+00:00,404.6737774732272,143.35355399470538,215.03215567054764,0.0
2024-12-22 16:37:30+00:00,218.66087748355295,143.40147391401285,26.637562005443048,0.0,2024-12-29 15:07:33.607637455+00:00,404.1133810385446,143.40147391401285,215.03215567054764,0.0
2024-12-22 16:52:30+00:00,227.66343906510855,143.4509931980811,26.52888990897905,0.0,2024-12-29 08:53:03.299544503+00:00,403.8289490205981,143.4509931980811,215.03215567054764,0.0
2024-12-22 17:07:30+00:00,251.45169485374177,143.50213358515532,26.420081664822536,0.0,2024-12-28 18:04:49.472834360+00:00,403.287587168253,143.50213358515532,215.03215567054764,0.0
2024-12-22 17:22:30+00:00,223.69020831821152,143.55491721077203,26.311137467503578,0.0,2024-12-29 12:24:52.152501758+00:00,403.0202525469276,143.55491721077203,215.03215567054764,0.0
2024-12-22 17:37:30+00:00,223.84778781756884,143.60936661654122,26.20205753052151,0.0,2024-12-29 12:38:37.980947300+00:00,402.4977695734577,143.60936661654122,215.03215567054764,0.0
2024-12-22 17:52:30+00:00,235.7223279108592,143.66550475922236,26.09284208714286,0.0,2024-12-29 04:46:16.770552181+00:00,402.2474488299465,143.66550475922236,215.03215567054764,0.0
2024-12-22 18:07:30+00:00,209.91795664629117,143.72335497722167,25.98349138533464,0.0,2024-12-30 00:09:45.994559217+00:00,401.74368159938996,143.72335497722167,215.03215567054764,0.0
2024-12-22 18:22:30+00:00,208.69802459351837,143.78294113291025,25.87400570568476,0.0,2024-12-30 01:31:53.347146517+00:00,401.2497767834468,143.78294113291025,215.03215567054764,0.0
2024-12-22 18:37:30+00:00,203.0613271114508,143.844287497245,25.764385346191123,0.0,2024-12-30 06:44:52.466557827+00:00,401.025064728915,143.844287497245,215.03215567054764,0.0
2024-12-22 18:52:30+00:00,209.31285475792987,143.9074187916725,25.654630626889944,0.0,2024-12-30 01:43:10.290828011+00:00,400.54959745725154,143.9074187916725,215.03215567054764,0.0
2024-12-22 19:07:30+00:00,212.48643978615465,143.9723602021252,25.54474189112911,0.0,2024-12-29 23:27:29.089461948+00:00,400.34164872163603,143.9723602021252,215.03215567054764,0.0
2024-12-22 19:22:30+00:00,305.4664751329735,144.0391373896295,25.43471950650513,0.0,2024-12-27 19:19:18.224722223+00:00,399.88443743939894,144.0391373896295,215.03215567054764,0.0
2024-12-22 19:37:30+00:00,219.71419031719532,144.1077765014711,25.324563865575325,0.0,2024-12-29 18:28:57.517853007+00:00,399.43679951424417,144.1077765014711,215.03215567054764,0.0
2024-12-22 19:52:30+00:00,197.53465077454672,144.1783041485714,25.214275383011092,0.0,2024-12-30 13:34:32.200020288+00:00,399.2540075615466,144.1783041485714,215.03215567054764,0.0
2024-12-22 20:07:30+00:00,190.73033525395763,144.2507475136239,25.10385450713979,0.0,2024-12-30 20:33:44.533969373+00:00,398.82431874965414,144.2507475136239,215.03215567054764,0.0
2024-12-22 20:22:30+00:00,211.07225954017852,144.32513429069135,24.993301713019523,0.0,2024-12-30 02:22:03.313983904+00:00,398.65800852304426,144.32513429069135,215.03215567054764,0.0
2024-12-22 20:37:30+00:00,194.26330706215785,144.40149269493892,24.882617503079285,0.0,2024-12-30 17:46:57.680946460+00:00,398.246071527233,144.40149269493892,215.03215567054764,0.0
2024-12-22 20:52:30+00:00,195.55460651473385,144.4798514867241,24.771802409511867,0.0,2024-12-30 16:53:35.301834400+00:00,397.8433949892908,144.47985148672413,215.03215567054764,0.0
2024-12-22 21:07:30+00:00,207.55604347063525,144.56023998453267,24.66085699516843,0.0,2024-12-30 06:22:29.041944779+00:00,397.70174546854133,144.56023998453267,215.03215567054764,0.0
2024-12-22 21:22:30+00:00,199.854659726996,144.6426880782662,24.549781854634375,0.0,2024-12-30 13:33:44.794677056+00:00,397.31649347353243,144.6426880782662,215.03215567054764,0.0
2024-12-22 21:37:30+00:00,194.88947095734272,144.72722621398788,24.438577612879588,0.0,2024-12-30 18:36:54.883763999+00:00,397.19102259686935,144.72722621398788,215.03215567054764,0.0
2024-12-22 21:52:30+00:00,186.2513638215924,144.81388549691735,24.327244934261635,0.0,2024-12-31 03:44:45.220945390+00:00,396.822988609245,144.81388549691735,215.03215567054764,0.0
2024-12-22 22:07:30+00:00,192.36340723514547,144.90269762628904,24.215784516705067,0.0,2024-12-30 21:49:15.001360540+00:00,396.74921316549774,144.90269762628904,215.03215567054764,0.0
2024-12-22 22:22:30+00:00,207.0088803467965,144.9936949225127,24.104197094156213,0.0,2024-12-30 08:36:46.437922235+00:00,396.4532295576473,144.9936949225127,215.03215567054764,0.0
2024-12-22 22:37:30+00:00,194.55632805731068,145.08691034839575,23.992483438238416,0.0,2024-12-30 20:22:55.043009997+00:00,396.16743086731395,145.08691034839575,215.03215567054764,0.0
2024-12-22 22:52:30+00:00,184.7303645610902,145.18237752447843,23.880644359572074,0.0,2024-12-31 06:50:32.227997596+00:00,396.13976030360504,145.18237752447845,215.03215567054764,0.0
2024-12-22 23:07:30+00:00,186.01957619545715,145.28013072619913,23.76868070793015,0.0,2024-12-31 05:49:21.808858656+00:00,395.8734236930955,145.28013072619913,215.03215567054764,0.0
2024-12-22 23:22:30+00:00,173.70126681724443,145.38020496237095,23.65659337797414,0.0,2024-12-31 20:17:18.242293727+00:00,395.8643193900492,145.38020496237095,215.03215567054764,0.0
2024-12-22 23:37:30+00:00,173.1525876460768,145.4826359313205,23.544383306465477,0.0,2024-12-31 21:20:17.902869515+00:00,395.61727688374805,145.4826359313205,215.03215567054764,0.0
2024-12-22 23:52:30+00:00,180.29270574173557,145.5874600521259,23.432051474910462,0.0,2024-12-31 13:14:42.142920124+00:00,395.38012900381966,145.5874600521259,215.03215567054764,0.0
2024-12-23 00:07:30+00:00,190.61649894578613,145.69471448449215,23.319598911127876,0.0,2024-12-31 02:29:10.322244728+00:00,395.3987477532002,145.69471448449215,215.03215567054764,0.0
2024-12-23 00:22:30+00:00,177.29161004775403,145.8044371347184,23.207026690221415,0.0,2024-12-31 17:28:00.161318221+00:00,395.18059319415704,145.8044371347184,215.03215567054764,0.0
2024-12-23 00:37:30+00:00,176.89299517460609,145.91666671836316,23.094335938801215,0.0,2024-12-31 18:18:39.581215306+00:00,395.2175772887328,145.91666671836316,215.03215567054764,0.0
2024-12-23 00:52:30+00:00,177.1535235891841,146.03144273274526,22.981527834143613,0.0,2024-12-31 18:22:32.451516712+00:00,395.01822182232246,146.03144273274526,215.03215567054764,0.0
2024-12-23 01:07:30+00:00,173.30389358608434,146.14880549051276,22.86860360672552,0.0,2024-12-31 23:24:18.999558309+00:00,395.07349226467056,146.14880549051276,215.03215567054764,0.0
2024-12-23 01:22:30+00:00,171.6589137235198,146.26879613065708,22.755564541919288,0.0,2025-01-01 01:50:09.413604566+00:00,394.8927331421791,146.26879613065708,215.03215567054764,0.0
2024-12-23 01:37:30+00:00,174.02545097860897,146.39145666502216,22.642411982684255,0.0,2024-12-31 23:16:04.769885577+00:00,394.72140224609285,146.39145666502216,215.03215567054764,0.0
2024-12-23 01:52:30+00:00,182.1968653257047,146.51682998325916,22.529147331098244,0.0,2024-12-31 14:03:22.947603378+00:00,394.8038344923578,146.51682998325916,215.03215567054764,0.0
2024-12-23 02:07:30+00:00,179.07579564350127,146.64495986872004,22.415772050363575,0.0,2024-12-31 17:59:14.468524220+00:00,394.6507516819338,146.64495986872004,215.03215567054764,0.0
2024-12-23 02:22:30+00:00,176.25274511146335,146.77589101871266,22.302287666852088,0.0,2024-12-31 21:41:28.047429426+00:00,394.7512258264077,146.77589101871266,215.03215567054764,0.0
2024-12-23 02:37:30+00:00,200.7558529307376,146.90966907745891,22.188695772488852,0.0,2024-12-30 20:15:30.366886071+00:00,394.6161745513248,146.90966907745891,215.03215567054764,0.0
2024-12-23 02:52:30+00:00,193.7155718370023,147.04634067221338,22.074998027532885,0.0,2024-12-31 03:22:06.270824520+00:00,394.4901847887201,147.04634067221338,215.03215567054764,0.0
2024-12-23 03:07:30+00:00,186.18189849489744,147.1859534105278,21.961196162370367,0.0,2024-12-31 11:31:32.135973923+00:00,394.6173667339569,147.1859534105278,215.03215567054764,0.0
2024-12-23 03:22:30+00:00,191.08740330830267,147.32855591376654,21.847291980151997,0.0,2024-12-31 06:44:46.312821038+00:00,394.50905054247147,147.32855591376654,215.03215567054764,0.0
2024-12-23 03:37:30+00:00,192.51226001669448,147.4741978265502,21.73328735946726,0.0,2024-12-31 05:39:52.641763994+00:00,394.6540290136429,147.4741978265502,215.03215567054764,0.0
2024-12-23 03:52:30+00:00,204.84928949824513,147.62292988776227,21.61918425694244,0.0,2024-12-30 18:20:10.487737244+00:00,394.56317432383247,147.62292988776227,215.03215567054764,0.0
2024-12-23 04:07:30+00:00,197.76043075745477,147.77480392599293,21.504984710107085,0.0,2024-12-31 01:14:17.845742939+00:00,394.55275502522386,147.77480392599293,215.03215567054764,0.0
2024-12-23 04:22:30+00:00,196.4870114263071,147.92987288119517,21.390690840361646,0.0,2024-12-31 02:49:34.795778860+00:00,394.8178618849836,147.92987288119517,215.03215567054764,0.0
2024-12-23 04:37:30+00:00,202.0732228132158,148.0881908376537,21.27630485583404,0.0,2024-12-30 21:55:14.856665316+00:00,394.8486603201952,148.0881908376537,215.03215567054764,0.0
2024-12-23 04:52:30+00:00,216.14623594447295,148.24981303027374,21.161829054749756,0.0,2024-12-30 10:12:31.549863952+00:00,395.1353198239892,148.24981303027374,215.03215567054764,0.0
2024-12-23 05:07:30+00:00,222.03084435880652,148.41479595274316,21.04726582769266,0.0,2024-12-30 05:57:52.252144317+00:00,395.1870261294814,148.41479595274316,215.03215567054764,0.0
2024-12-23 05:22:30+00:00,228.76527545909852,148.5831973065419,20.932617662093666,0.0,2024-12-30 01:20:27.734771966+00:00,395.4952382153971,148.5831973065419,215.03215567054764,0.0
2024-12-23 05:37:30+00:00,227.6532810562556,148.75507605511828,20.817887145280284,0.0,2024-12-30 02:29:21.615497605+00:00,395.56768852474795,148.75507605511828,215.03215567054764,0.0
2024-12-23 05:52:30+00:00,224.7599209691994,148.93049244449773,20.70307696850003,0.0,2024-12-30 04:57:37.330444120+00:00,395.6503544869977,148.93049244449773,215.03215567054764,0.0
2024-12-23 06:07:30+00:00,232.4069527644113,149.10950805234953,20.588189929913742,0.0,2024-12-29 23:48:29.466623985+00:00,395.990468486725,149.10950805234953,215.03215567054764,0.0
2024-12-23 06:22:30+00:00,223.52429145852685,149.2921858461754,20.47322893785866,0.0,2024-12-30 06:34:57.810686364+00:00,396.0935712253285,149.2921858461754,215.03215567054764,0.0
2024-12-23 06:37:30+00:00,225.86093100904608,149.47859016576717,20.358197016555845,0.0,2024-12-30 05:11:27.451375589+00:00,396.45517633423634,149.47859016576717,215.03215567054764,0.0
2024-12-23 06:52:30+00:00,226.55454564191348,149.66878677532387,20.243097309536548,0.0,2024-12-30 05:01:45.060265031+00:00,396.578530350237,149.66878677532387,215.03215567054764,0.0
2024-12-23 07:07:30+00:00,226.5383679667117,149.86284287615368,20.127933084964344,0.0,2024-12-30 05:23:21.445699102+00:00,396.7117374128533,149.86284287615368,215.03215567054764,0.0
2024-12-23 07:22:30+00:00,223.93135846565983,150.06082721550425,20.01270773675903,0.0,2024-12-30 07:40:27.760297438+00:00,397.1050322235753,150.06082721550425,215.03215567054764,0.0
2024-12-23 07:37:30+00:00,230.4480069522263,150.26281005861725,19.897424792384808,0.0,2024-12-30 03:15:42.672431231+00:00,397.25816195422135,150.26281005861725,215.03215567054764,0.0
2024-12-23 07:52:30+00:00,227.56942321709897,150.46886323440836,19.782087917159753,0.0,2024-12-30 05:40:46.851148787+00:00,397.67294920711197,150.46886323440836,215.03215567054764,0.0
2024-12-23 08:07:30+00:00,216.36830615127775,150.67906016298704,19.66670092006993,0.0,2024-12-30 14:36:58.465555576+00:00,397.9728384955085,150.67906016298704,215.03215567054764,0.0
2024-12-23 08:22:30+00:00,229.15373497215717,150.89347593476188,19.5512677561747,0.0,2024-12-30 05:13:40.814423135+00:00,398.28487238666753,150.89347593476188,215.03215567054764,0.0
2024-12-23 08:37:30+00:00,212.8547579298831,151.11218733448018,19.43579253321188,0.0,2024-12-30 18:12:22.215772173+00:00,398.86341495807443,151.11218733448018,215.03215567054764,0.0
2024-12-23 08:52:30+00:00,231.67632328390457,151.3352728592466,19.32027951864204,0.0,2024-12-30 04:07:32.490737602+00:00,399.20027229232613,151.3352728592466,215.03215567054764,0.0
2024-12-23 09:07:30+00:00,202.4692316651784,151.56281275964034,19.20473314541624,0.0,2024-12-31 04:02:08.228115312+00:00,399.80565505648286,151.56281275964034,215.03215567054764,0.0
2024-12-23 09:22:30+00:00,231.23223390335244,151.79488911071252,19.089158015563346,0.0,2024-12-30 05:07:56.560235321+00:00,400.16727941364303,151.79488911071252,215.03215567054764,0.0
2024-12-23 09:37:30+00:00,215.5219940210428,152.03158584698323,18.973558907291377,0.0,2024-12-30 17:25:22.604894700+00:00,400.7996518080794,152.03158584698323,215.03215567054764,0.0
2024-12-23 09:52:30+00:00,197.0370565115087,152.27298878335765,18.857940783062116,0.0,2024-12-31 10:16:43.471958723+00:00,401.1859724259864,152.27298878335765,215.03215567054764,0.0
2024-12-23 10:07:30+00:00,200.6328376751951,152.51918565779724,18.74230879643607,0.0,2024-12-31 07:11:30.557411618+00:00,401.58411330394074,152.51918565779724,215.03215567054764,0.0
2024-12-23 10:22:30+00:00,192.42617904841404,152.77026621285546,18.626668295530948,0.0,2024-12-31 15:37:16.840795300+00:00,402.2564115585586,152.77026621285546,215.03215567054764,0.0
2024-12-23 10:37:30+00:00,189.43976394766472,153.0263222071237,18.51102483343526,0.0,2024-12-31 19:05:55.664504258+00:00,402.67905893124635,153.0263222071237,215.03215567054764,0.0
