encounter,streakline,start_longitude_deg,end_longitude_deg
9,5,37.530182867179064,98.18751703351506
9,6,28.670949602673318,95.05295552034573
9,7,22.62433915307946,91.15702136777078
9,8,16.577852390363148,86.32773204432517
9,9,10.531490055147287,85.85784129210883
9,10,4.485252760216895,84.55956775202178
9,11,1.2516409942433029,80.55752899329703
10,1,321.7681794602272,356.783051959336
10,2,315.73582445191846,352.3812833726194
10,3,309.70352695575593,346.3528543950105
10,4,303.6712882925799,345.0335706113044
10,5,297.6391097464938,342.9714045675288
10,6,291.60699256041016,339.87571566507916
10,7,282.76243793198466,339.0874394608417
10,8,276.73044700892615,337.8293747758307
10,9,32.69059913166893,113.5298643255896
10,10,29.473443721422484,109.69431495912303
10,11,29.068830187299,108.41121506325331
10,12,23.039259286812694,106.37036742496565
10,13,14.19723185451437,56.354054448681254
10,14,8.167748794021747,45.47971666629824
10,15,2.1383110698494647,42.79023938757184
10,16,356.1089197018926,41.10887125369783
11,1,116.26255950256666,178.4429929986605
11,2,113.04763171804512,160.9961555021324
11,3,107.02013613333719,157.21655075697439
11,4,100.99256999440274,149.21974055720028
11,5,94.96493037109644,143.2535312952665
11,6,88.93721418015821,132.01363033101154
11,7,82.90941821190091,125.39571192222323
11,8,76.88153916155449,123.365758378503
11,9,70.85357366133212,121.4785736613321
11,10,62.013018314362796,119.55930562908925
11,11,58.79736972792949,113.99341894098337
11,12,52.76912454503071,101.9640382146334
11,13,46.74077947333484,96.9361704008495
11,14,40.71233130947297,88.38038255735036
11,15,34.683776960605314,84.65279844505288
11,16,25.842613459576853,82.5021769643523
11,17,19.81383797633464,81.0573250226396
11,18,13.784947824649237,79.50001650913369
11,19,7.755940465249637,76.86543284186487
11,20,1.7268135048283284,69.43471993050682
11,21,355.6975646941036,51.56780373327838
12,1,194.11499106365306,264.5172229742493
12,2,188.0579085048688,261.62778625991604
12,3,182.00076851118774,259.70393329869955
12,4,178.75607327556122,256.39540141420883
12,5,172.69882519704402,229.1947588558611
12,6,166.6415268911179,227.2025635992767
12,7,160.5841811942804,206.90079300000062
12,8,154.52679116334605,202.17339375360112
12,9,148.46936006499465,199.58408192959004
12,10,145.2243913572513,185.78727685787214
12,11,139.16688866119574,177.78669879484505
12,12,130.29685572396033,173.24783791808852
12,13,124.23929637463033,170.53121760706262
12,14,118.18171447394815,166.83978708201215
12,15,112.1241138632293,161.76408143968993
12,16,106.06649831214372,153.6534177064961
12,17,100.00887147063781,150.63387147063784
12,18,93.95123682689763,149.4993947188256
12,19,87.89359767333076,146.7545911996294
12,20,81.83595708100722,137.9381738002422
12,21,75.77831788529289,126.12667392138256
12,22,69.72068267873152,123.77527999634442
12,23,63.66305381300066,122.5367163265617
12,24,57.60543340699547,120.94494850030162
13,1,270.29202982966274,333.43562962491626
13,2,264.2452468200338,331.94577000193544
13,3,258.19858453993083,329.9011678709168
13,4,252.15204172489132,328.75779774751146
13,5,246.10561703402595,328.08294934706385
13,6,245.6843090543764,326.367041468648
13,7,239.6381163052913,325.15926846919837
13,8,230.77953724611928,289.8420372461194
13,9,224.7335702831524,287.10895296181764
13,10,218.68771377879602,276.8107707963693
13,11,215.45446606189137,246.56194921480682
13,12,209.40882543899045,240.81873761268557
13,13,203.36329020610924,238.934218655286
13,14,194.50535866317546,237.15119313014802
13,15,188.46002912752817,233.60405500431966
13,16,182.41479994921053,225.32211892485643
13,17,176.369669526625,218.7704477179411
13,18,170.32463632283282,215.68784750684478
13,19,164.279698882331,211.1508408051681
13,20,158.23485584714012,209.06699061977227
13,21,149.37760597478632,208.38107314805904
13,22,143.33294815439666,207.72062246416309
13,23,137.28838142343744,206.93518783606658
13,24,131.24390498386924,205.3800977387304
13,25,125.19951821734202,195.65334188453457
14,1,295.14291512911257,354.2579263508995
14,2,291.92523399339973,332.4751171872949
14,3,285.8951149848343,329.0078037037849
14,4,279.8650594051013,324.48795387168076
14,5,273.8350684942794,321.18650058199773
14,6,264.99264342696165,318.7070447676988
14,7,258.9627853096338,316.7235380408169
14,8,252.9329951786899,315.4625545981441
14,9,246.90327399859507,314.5050011734471
14,10,238.06112266032187,312.89822336019927
14,11,232.03154197894526,311.1680048432615
