encounter,streakline,start_longitude_deg,end_longitude_deg,start_radius_Rs,end_radius_Rs
17,29,40.53683626882548,109.29012136072193,236.7968198485126,30.0
17,30,34.497237775410554,106.48556782926538,236.1101092206413,30.0
18,1,289.5087950234896,359.8639159460415,232.53576592246023,30.0
18,2,283.4807501063873,354.84062635864944,231.94954366698775,30.0
18,3,277.45276091509686,349.1354417758322,233.04169709270965,30.0
18,4,271.4248287306697,341.01440489852007,232.51327471861973,30.0
18,5,262.5844547625561,336.06380887480924,239.84749104628048,30.0
18,6,256.5566401397631,333.2200734307247,237.6687321150376,30.0
18,7,250.5288859040959,331.4010897783922,238.6909671543422,30.0
18,8,247.3136930050606,299.91019352814226,239.8985035272311,30.0
18,9,241.28606229682532,297.8928856453347,235.89914561807035,30.0
18,10,235.25849453560716,295.8262799125867,236.39152306442034,30.0
18,11,229.2309903800308,284.26061144876786,239.0473126085937,30.0
18,12,223.20355039070296,277.1631180374235,239.53087775228192,30.0
18,13,217.1761750310942,272.5848696568542,238.53828230508674,30.0
18,14,211.14886466855637,268.9368505667469,237.0780874313694,30.0
18,15,205.12161957506203,265.3314550490379,236.3359014993679,30.0
18,16,199.09443992706292,261.0163662569466,235.544809319663,30.0
18,17,193.06732580582445,257.06832435482715,233.3894125548568,30.0
18,18,187.0402771955712,255.06827070961512,232.77225563437273,30.0
18,19,181.0132939809473,249.4710256636352,235.3811040438171,30.0
19,1,113.62340508868158,170.07169346289976,231.10391927503068,30.0
19,2,107.58628274589552,157.27413627732759,232.50870313530606,30.0
19,3,101.54901261689264,154.21892775429438,231.37892857963743,30.0
19,4,95.51159480869308,150.92052664679466,230.67814766552252,30.0
19,5,86.6615293132408,147.53825828554542,239.85050661535664,30.0
19,6,80.62381599090253,143.75820425968078,238.40011853515944,30.0
19,7,74.5859545549298,140.98685321942145,237.02247625627223,30.0
19,8,71.3604445533249,122.10852654756802,231.8560040639427,30.0
19,9,65.32228535184134,114.46547728968106,233.61353887395057,30.0
19,10,59.283976117950374,108.41349350673708,232.7774213879056,30.0
19,11,53.245515807623065,104.99005316844354,232.22016672563936,30.0
19,12,47.20690315641093,100.65374417899659,231.73802681845626,30.0
19,13,41.168136676005815,96.00470260573111,231.08018515001277,30.0
19,14,35.129214659797185,92.78843243003067,230.29659946054358,30.0
19,15,26.27763519555367,89.4192935713432,238.7127005227514,30.0
19,16,20.23839618840327,87.38458665474347,236.72068516194145,30.0
19,17,14.19899539234774,85.57649897495409,236.3503482641322,30.0
19,18,8.159430449965441,77.05406918164255,236.84618818275183,30.0
19,19,4.932198937571741,50.146123916494744,232.90145125727148,30.0
19,20,358.89229841540487,44.32987995750174,235.09404378585904,30.0
20,1,251.18967143132954,298.2928711656202,237.36554701360896,30.0
20,2,245.13262197146673,294.2712236013601,236.9264776794724,30.0
20,3,239.0755242060543,289.42860982499207,235.89401907925503,30.0
20,4,233.01837911472217,284.27457588757653,236.177968786465,30.0
20,5,226.9611877899863,280.1483686876788,234.93948302574182,30.0
20,6,220.90395143157446,277.4286620429725,233.5991899879197,30.0
20,7,214.84667134111328,275.4863416736923,232.51143445990158,30.0
20,8,208.7893489175001,273.77607535461283,232.30473688280068,30.0
20,9,202.73198565252926,263.1900468999201,232.61077415676672,30.0
20,10,196.67458312911708,260.8660757784325,232.22706564057242,30.0
20,11,190.61714301913253,254.47702594677767,232.0770767199811,30.0
20,12,181.74716708307085,252.10653687789048,239.02304984175308,30.0
20,13,175.68965717090043,250.0371527520211,237.58050682501806,30.0
20,14,169.63211522380357,248.58886117324244,236.67577509022396,30.0
20,15,166.3870432771057,246.18085564407198,229.49981176916577,30.0
20,16,157.5169434630452,234.76208827583355,237.3618865808381,30.0
20,17,151.45931801564177,231.65027461596486,237.26012660151002,30.0
20,18,145.40166927395933,222.5189913437606,238.15270088362325,30.0
20,19,139.34399968582932,210.4487562028674,239.98970724727653,30.0
20,20,136.09881181065884,189.01557847919725,234.8429046700253,30.0
20,21,130.04110832083546,185.4385566558289,234.2293888313582,30.0
20,22,123.98339200159444,183.42433293314744,232.5703075419865,30.0
20,23,115.11316574739675,182.67186420420222,239.6944198494738,30.0
20,24,111.86793255730208,180.2598771495109,231.55469175532642,30.0
20,25,102.99769552536031,176.73263489691203,238.44913738061132,30.0
20,26,96.93995782834611,174.68161563283925,236.4131467114738,30.0
20,27,93.69472270982214,173.51930553458723,228.99205012275488,30.0
20,28,90.44949346072116,172.08205842827712,222.12976260163197,30.0
20,29,78.76677339621142,157.86902454994745,237.93024460929956,30.0
21,1,282.12196420517,359.2101301943774,234.93756551524416,30.0
21,2,276.0822302049295,350.67323032086597,234.10537578956092,30.0
21,3,270.0425979179819,343.90896412205933,236.01327203157365,30.0
21,4,264.0030662808566,336.3840423245521,235.76294314295438,30.0
21,5,257.963634116433,332.4599508911431,235.15685248934676,30.0
21,6,251.92430014654974,328.8998547041097,234.73154218438958,30.0
21,7,245.88506300324093,323.6233267948674,235.02891178392204,30.0
21,8,239.84592123920208,310.99551205876435,237.60505748681146,30.0
21,9,233.80687333647597,295.45274128730597,238.8811993212574,30.0
21,10,227.7679177157206,293.4926865082944,239.8488564250795,30.0
21,11,10.412861356852943,74.14756151661712,237.9902615973652,30.0
21,12,4.376252803318778,67.9715269026962,237.85958488505463,30.0
21,13,358.3396996976425,61.128497963543964,238.1718708513778,30.0
22,1,253.04963776670218,303.8806983305966,238.97715632431584,30.0
22,2,247.0206546314812,299.8904954836306,239.44410418715208,30.0
22,3,240.99173981866306,297.6991912765972,236.5754950381177,30.0
22,4,234.96289428079683,296.0054592290878,235.1413148306139,30.0
22,5,228.93411881150337,293.7188425109575,235.45867202232128,30.0
22,6,225.71791405107479,273.6849968003282,228.98569693415112,30.0
22,7,216.87678049452074,270.89057644501327,239.82028395494416,30.0
22,8,213.66071849979835,264.5273544415022,229.00531610183154,30.0
22,9,207.63222829633582,255.64214250233232,229.63598858192964,30.0
22,10,201.60380999222264,248.8148236087774,231.29580495955642,30.0
22,11,195.57546358199863,238.69787635586638,232.5866248519763,30.0
22,12,189.5471889518377,233.79910448899102,232.04147361083884,30.0
22,13,183.51898588439656,224.79203107505674,232.63855866276842,30.0
22,14,177.4908540620862,223.15424592415513,230.95121243694655,30.0
22,15,171.4627930691271,219.17000647626259,229.84193295122617,30.0
22,16,165.4348023925595,213.6880335220726,229.3260697050632,30.0
22,17,156.59438142132683,211.40945876949718,237.99667318054088,30.0
22,18,150.56652944591372,208.9246616313614,236.70456366174108,30.0
22,19,144.53874565558243,206.84783827643267,233.73491225131332,30.0
22,20,138.51102913607872,205.17167528908513,232.7566676240104,30.0
22,21,129.67087886649801,203.13337360559186,239.72695751050247,30.0
22,22,123.64329371684556,200.50602273953635,238.46458127741784,30.0
22,23,117.61577244584822,195.45058703548355,239.3749366347817,30.0
22,24,114.40081369914662,176.73251980571808,233.71247601053543,30.0
22,25,105.56091601035956,174.85108546884743,239.97144437755674,30.0
22,26,99.53357780265543,173.65731546490963,237.31248799997746,30.0
22,27,93.5062973928874,172.63649140015661,236.38253129975115,30.0
22,28,90.29157299858156,170.7643918489534,228.4144212048459,30.0
22,29,87.0769027473491,168.7706191540254,221.9663667319684,30.0
22,30,81.04978468871712,160.9864320857575,222.16553467136683,30.0
22,31,72.21021681013059,152.37230068482938,229.93549224028706,30.0
22,32,63.370697054110565,142.19991564604902,238.1968240490131,30.0
23,1,291.6235954390962,0.19832791371226222,235.06443699722573,30.0
23,2,285.5940190476325,357.07210409829355,233.43917860466405,30.0
23,3,279.5643129973697,354.0172301203165,233.99488279813255,30.0
23,4,273.53447659942697,337.5532004425178,235.9730874794387,30.0
23,5,83.323089177589,136.76254269089165,231.11067771295592,30.0
23,6,77.28893221503415,130.3048580604474,230.7568611470337,30.0
23,7,68.44214040060484,127.89864418167193,237.7711592168752,30.0
23,8,62.40771269585849,126.64667173550019,236.139913046369,30.0
23,9,56.37314791683082,125.20858162209763,235.4466358661386,30.0
23,10,50.33844471878939,119.47277473503786,239.32047204661362,30.0
23,11,49.92860158189734,82.27998678862933,224.09750707927387,30.0
23,12,43.893616798207404,75.61508116188736,224.42588614772527,30.0
23,13,35.045988464174116,72.40052644878058,239.8615799531931,30.0
23,14,29.010714477007014,65.83045549660096,239.65973171513374,30.0
23,15,22.975292539122222,62.21883319347162,237.9503444366543,30.0
23,16,16.939720170905957,59.36213672336059,234.69737633490143,30.0
