time,longitude,radius,latitude,Vr,Time_days,Times_Earth,Vr_pred_Earth,Lon-L1,Lat-L1,Vr_obs_Earth,SpiralOrigin_Lon_deg,SpiralOrigin_Rs,SpiralOrigin_Lat_deg
2018-11-05 17:52:30+00:00,325.6872709000923,35.80299873675905,-3.946192223874673,325.0104340567613,10.107511574074074,2018-11-09 17:52:30+00:00,744.1340607759581,177.00788509300966,3.478093750002726,429.97575323952617,323.64823705551254,30.0,-3.946192223874673
2018-11-05 18:07:30+00:00,325.7366297824966,35.79639090066953,-3.949725823787366,320.3354564547951,10.11792824074074,2018-11-09 18:07:30+00:00,744.1351841020728,176.87055323278176,3.476932972607878,430.73947650846645,323.67019398472297,30.0,-3.949725823787366
2018-11-05 18:22:30+00:00,325.7860622337756,35.78995588239574,-3.9532140855650577,328.1712576516416,10.128344907407408,2018-11-09 18:22:30+00:00,744.1351841020728,176.73322139559315,3.4757720756641453,424.0055576032204,323.77120640875586,30.0,-3.9532140855650577
2018-11-05 18:37:30+00:00,325.8355663683708,35.78369381998298,-3.956656884151577,327.5661047983197,10.138761574074074,2018-11-09 18:37:30+00:00,744.1365305045563,176.5958895814715,3.474611059209514,422.20287781222675,323.8191714249372,30.0,-3.956656884151577
2018-11-05 18:52:30+00:00,325.88514029614123,35.77760484787593,-3.960054096632879,309.1506677796327,10.14917824074074,2018-11-09 18:52:30+00:00,744.1380869654514,176.45855779035705,3.473449923282,422.9653589315526,323.7508823421697,30.0,-3.960054096632879
2018-11-05 19:07:30+00:00,325.93478212219173,35.77168909690936,-3.963405602250764,307.820493833809,10.159594907407408,2018-11-09 19:07:30+00:00,744.1380869654514,176.32122602223404,3.472288667919554,426.1845138723269,323.79349620648856,30.0,-3.963405602250764
2018-11-05 19:22:30+00:00,325.9844899473022,35.765946694294925,-3.9667112824197712,317.1307017071463,10.170011574074074,2018-11-09 19:22:30+00:00,744.1398390507321,176.18389427711568,3.4711272931601584,435.3710730004553,323.9081350017889,30.0,-3.9667112824197712
2018-11-05 19:37:30+00:00,326.0342618678023,35.760377763610016,-3.96997102074058,314.3730814798858,10.18042824074074,2018-11-09 19:37:30+00:00,744.1417715773185,176.04656255497156,3.469965799041819,432.76939740837906,323.94171653517384,30.0,-3.96997102074058
2018-11-05 19:52:30+00:00,326.0840959758517,35.75498242478739,-3.97318470301405,320.92869836824815,10.190844907407408,2018-11-09 19:52:30+00:00,744.1417715773185,175.90923085578586,3.46880418560251,426.1623462792078,324.0362150118798,30.0,-3.97318470301405
2018-11-05 20:07:30+00:00,326.1339903594822,35.74976079410412,-3.97635221725672,322.21410684474125,10.201261574074074,2018-11-09 20:07:30+00:00,744.1438692156722,175.77189917954286,3.467642452880223,436.31767231099445,324.0961296833925,30.0,-3.97635221725672
2018-11-05 20:22:30+00:00,326.1839431027358,35.74471298417083,-3.9794734537133856,328.7899186816738,10.21167824074074,2018-11-09 20:22:30+00:00,744.1438692156722,175.63456752622662,3.466480600912938,435.5540484140233,324.18859301364427,30.0,-3.9794734537133856
2018-11-05 20:37:30+00:00,326.2339522857907,35.7398391039225,-3.982548304871109,305.51752921535893,10.222094907407408,2018-11-09 20:37:30+00:00,744.1461170039822,175.49723589582172,3.46531862973862,429.01172283476126,324.08843090099344,30.0,-3.982548304871109
2018-11-05 20:52:30+00:00,326.28401598507753,35.735139258608406,-3.98557666547192,288.8447909181389,10.232511574074074,2018-11-09 20:52:30+00:00,744.1485007557718,175.3599042883122,3.4641565393952813,434.8773597020675,324.0165087053299,30.0,-3.98557666547192
2018-11-05 21:07:30+00:00,326.33413227344585,35.730613549782575,-3.9885584325264127,303.75323119177125,10.24292824074074,2018-11-09 21:07:30+00:00,744.1485007557718,175.2225727036825,3.4629943299208996,443.20458339657,324.17961749231887,30.0,-3.9885584325264127
2018-11-05 21:22:30+00:00,326.3842992202195,35.72626207529521,-3.9914935053255793,314.4435169727323,10.253344907407408,2018-11-09 21:22:30+00:00,744.1510073496675,175.08524114191698,3.461832001353449,453.58534064711023,324.30461288827235,30.0,-3.9914935053255793
