time,longitude,radius,latitude,Vr,Time_days,Times_Earth,Vr_pred_Earth,Lon-L1,Lat-L1,Vr_obs_Earth,SpiralOrigin_Lon_deg,SpiralOrigin_Rs,SpiralOrigin_Lat_deg,Encounter
2024-12-24 15:52:30+00:00,247.77532577186247,10.22307851678846,-3.85786250762274,267.32709856232884,14.449583333333331,2024-12-28 15:52:30+00:00,336.15231728836386,120.64505736890813,-2.6311627356498386,341.0684474123539,256.2239300077491,30.0,-3.85786250762274,22
2024-12-24 16:07:30+00:00,248.95950737714284,10.268143179174263,-3.853306681570946,242.60239557839117,14.46,2024-12-28 16:07:30+00:00,336.15231728836386,120.50785916948368,-2.6324125779017367,341.46911519198665,258.24793352825264,30.0,-3.853306681570946,22
2024-12-24 16:22:30+00:00,250.13171850611872,10.31565472463878,-3.846743672586061,261.79554921633144,14.470416666666669,2024-12-28 16:22:30+00:00,337.81198724079155,120.370661001526,-2.6336623329627376,341.3466889259878,258.71845187188063,30.0,-3.846743672586061,22
2024-12-24 16:37:30+00:00,251.2915005536561,10.365565693587904,-3.8382356286109593,305.23071786310516,14.480833333333331,2024-12-28 16:37:30+00:00,339.365361683524,120.23346286508963,-2.6349120007877085,338.9538119087367,258.6376442152732,30.0,-3.8382356286109593,22
2024-12-24 16:52:30+00:00,252.4384303014444,10.417827299428746,-3.827847473513324,276.81286993473975,14.49125,2024-12-28 16:52:30+00:00,339.365361683524,120.09626476014608,-2.636161581331994,342.07011686143574,260.5171745632269,30.0,-3.827847473513324,22
2024-12-24 17:07:30+00:00,253.57211970602177,10.472389598997426,-3.8156464697052623,282.56976383564177,14.501666666666669,2024-12-28 17:07:30+00:00,340.80273554279734,119.9590666866438,-2.6374110745498944,341.48580968280464,261.46422144535546,30.0,-3.8156464697052623,22
2024-12-24 17:22:30+00:00,254.69221579070543,10.52920166522387,-3.8017017882065938,271.81131845924045,14.512083333333331,2024-12-28 17:22:30+00:00,342.1168212205989,119.82186864459372,-2.638660480396263,340.28142141664677,262.8728219262838,30.0,-3.8017017882065938,22
2024-12-24 17:37:30+00:00,255.7984000460958,10.588211752259848,-3.786084094797625,258.60909735403754,14.5225,2024-12-28 17:37:30+00:00,342.1168212205989,119.68467063398168,-2.639909798826394,340.63916050560454,264.37057465729106,30.0,-3.786084094797625,22
2024-12-24 17:52:30+00:00,256.89038797605104,10.649367455979853,-3.768865149553609,254.28594583205015,14.532916666666669,2024-12-28 17:52:30+00:00,343.3027132744505,119.54747265475608,-2.641159029794631,340.42451705222993,265.5808340767172,30.0,-3.768865149553609,22
2024-12-24 18:07:30+00:00,257.9679281909054,10.712615870330987,-3.7501174291871258,228.29431818562,14.543333333333331,2024-12-28 18:07:30+00:00,343.3027132744505,119.41027470692772,-2.642408173255794,341.9031719532554,267.6161546665876,30.0,-3.7501174291871258,22
2024-12-24 18:22:30+00:00,259.0308016480418,10.777903733488994,-3.729913767265678,262.0639577289009,14.55375,2024-12-28 18:22:30+00:00,344.3577650721067,119.2730767904824,-2.643657229165175,347.72239446696875,267.4073039942581,30.0,-3.729913767265678,22
2024-12-24 18:37:30+00:00,260.0788205625225,10.84517757022024,-3.708327020558676,273.56856897418027,14.564166666666669,2024-12-28 18:37:30+00:00,345.28139658113474,119.1358789053976,-2.6449061974771055,347.245409015025,268.07497537283086,30.0,-3.708327020558676,22
2024-12-24 18:52:30+00:00,261.11182733065834,10.91438382586114,-3.6854297582893816,269.210402754591,14.574583333333331,2024-12-28 18:52:30+00:00,345.28139658113474,118.99868105162577,-2.6461550781463687,337.41950870498454,269.20807173497246,30.0,-3.6854297582893816,22
2024-12-24 19:07:30+00:00,262.1296933722698,10.98546898954972,-3.661293976405812,263.3494215391411,14.585,2024-12-28 19:07:30+00:00,346.07485397437426,118.86148322916708,-2.647403871128294,345.1585976627713,270.3752980881161,30.0,-3.661293976405812,22
